participantID,item,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender,ratedEmotion,congruent_choice
P036,WF-005-NR-HC_1,4,WF,005,NR,HC,1,Female,Happy,1
P018,WF-005-NR-HC_1,4,WF,005,NR,HC,1,Female,Happy,1
P014,WF-005-NR-HC_1,5,WF,005,NR,HC,1,Female,Happy,1
P050,WF-005-NR-HC_1,5,WF,005,NR,HC,1,Female,Happy,1
P011,WF-005-NR-HC_1,5,WF,005,NR,HC,1,Female,Happy,1
P030,WF-005-NR-HC_1,5,WF,005,NR,HC,1,Female,Happy,1
P005,WF-005-NR-HC_1,4,WF,005,NR,HC,1,Female,Happy,1
P024,WF-005-NR-HC_1,5,WF,005,NR,HC,1,Female,Happy,1
P001,WF-005-NR-HC_1,5,WF,005,NR,HC,1,Female,Happy,1
P055,WF-005-NR-A_4,5,WF,005,NR,A,4,Female,Angry,4
P036,WF-005-NR-A_4,4,WF,005,NR,A,4,Female,Angry,4
P018,WF-005-NR-A_4,4,WF,005,NR,A,4,Female,Angry,4
P014,WF-005-NR-A_4,5,WF,005,NR,A,4,Female,Angry,4
P050,WF-005-NR-A_4,5,WF,005,NR,A,4,Female,Angry,4
P011,WF-005-NR-A_4,4,WF,005,NR,A,4,Female,Angry,4
P030,WF-005-NR-A_4,4,WF,005,NR,A,4,Female,Angry,4
P005,WF-005-NR-A_4,3,WF,005,NR,A,4,Female,Angry,4
P024,WF-005-NR-A_4,4,WF,005,NR,A,4,Female,Angry,4
P001,WF-005-NR-A_4,4,WF,005,NR,A,4,Female,Angry,4
P055,WF-005-NR-F_6,3,WF,005,NR,F,6,Female,Scared,6
P036,WF-005-NR-F_6,2,WF,005,NR,F,6,Female,Scared,6
P018,WF-005-NR-F_6,4,WF,005,NR,F,6,Female,Scared,6
P014,WF-005-NR-F_6,4,WF,005,NR,F,6,Female,Scared,6
P050,WF-005-NR-F_6,1,WF,005,NR,F,6,Female,Scared,6
P011,WF-005-NR-F_6,5,WF,005,NR,F,6,Female,Scared,6
P030,WF-005-NR-F_6,2,WF,005,NR,F,6,Female,Scared,6
P005,WF-005-NR-F_6,1,WF,005,NR,F,6,Female,Scared,6
P024,WF-005-NR-F_6,4,WF,005,NR,F,6,Female,Scared,6
P001,WF-005-NR-F_6,3,WF,005,NR,F,6,Female,Scared,6
P60,WF-007-NR-N_4,1,WF,007,NR,N,4,Female,Angry,4
P055,WF-007-NR-N_4,1,WF,007,NR,N,4,Female,Angry,4
P035,WF-007-NR-N_4,1,WF,007,NR,N,4,Female,Angry,4
P016,WF-007-NR-N_4,2,WF,007,NR,N,4,Female,Angry,4
P051,WF-007-NR-N_4,2,WF,007,NR,N,4,Female,Angry,4
