participantID,question,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender
P002,WF-007-NR-F_6,4.0,WF,007,NR,F,6,Female
P064,WF-008-NR-N_4,3.0,WF,008,NR,N,4,Female
P058,WF-008-NR-N_4,1.0,WF,008,NR,N,4,Female
P019,WF-008-NR-N_4,1.0,WF,008,NR,N,4,Female
P033,WF-008-NR-N_4,1.0,WF,008,NR,N,4,Female
P032,WF-008-NR-N_4,1.0,WF,008,NR,N,4,Female
P048,WF-008-NR-N_4,2.0,WF,008,NR,N,4,Female
P008,WF-008-NR-N_4,1.0,WF,008,NR,N,4,Female
P029,WF-008-NR-N_4,1.0,WF,008,NR,N,4,Female
P007,WF-008-NR-N_4,1.0,WF,008,NR,N,4,Female
P004,WF-008-NR-N_4,1.0,WF,008,NR,N,4,Female
P001,WF-008-NR-N_4,1.0,WF,008,NR,N,4,Female
P064,WF-008-NR-HC_1,4.0,WF,008,NR,HC,1,Female
P058,WF-008-NR-HC_1,3.0,WF,008,NR,HC,1,Female
P019,WF-008-NR-HC_1,4.0,WF,008,NR,HC,1,Female
P033,WF-008-NR-HC_1,5.0,WF,008,NR,HC,1,Female
P032,WF-008-NR-HC_1,4.0,WF,008,NR,HC,1,Female
P048,WF-008-NR-HC_1,5.0,WF,008,NR,HC,1,Female
P008,WF-008-NR-HC_1,4.0,WF,008,NR,HC,1,Female
P029,WF-008-NR-HC_1,5.0,WF,008,NR,HC,1,Female
P007,WF-008-NR-HC_1,4.0,WF,008,NR,HC,1,Female
P004,WF-008-NR-HC_1,4.0,WF,008,NR,HC,1,Female
P001,WF-008-NR-HC_1,5.0,WF,008,NR,HC,1,Female
P064,WF-008-NR-A_4,5.0,WF,008,NR,A,4,Female
P058,WF-008-NR-A_4,5.0,WF,008,NR,A,4,Female
P019,WF-008-NR-A_4,5.0,WF,008,NR,A,4,Female
P033,WF-008-NR-A_4,4.0,WF,008,NR,A,4,Female
P032,WF-008-NR-A_4,5.0,WF,008,NR,A,4,Female
P048,WF-008-NR-A_4,3.0,WF,008,NR,A,4,Female
P008,WF-008-NR-A_4,5.0,WF,008,NR,A,4,Female
P029,WF-008-NR-A_4,5.0,WF,008,NR,A,4,Female
P007,WF-008-NR-A_4,5.0,WF,008,NR,A,4,Female
P004,WF-008-NR-A_4,4.0,WF,008,NR,A,4,Female
P001,WF-008-NR-A_4,4.0,WF,008,NR,A,4,Female
P064,WF-008-NR-F_6,4.0,WF,008,NR,F,6,Female
P058,WF-008-NR-F_6,3.0,WF,008,NR,F,6,Female
P019,WF-008-NR-F_6,5.0,WF,008,NR,F,6,Female
P033,WF-008-NR-F_6,1.0,WF,008,NR,F,6,Female
P032,WF-008-NR-F_6,5.0,WF,008,NR,F,6,Female
P048,WF-008-NR-F_6,5.0,WF,008,NR,F,6,Female
P008,WF-008-NR-F_6,3.0,WF,008,NR,F,6,Female
P029,WF-008-NR-F_6,5.0,WF,008,NR,F,6,Female
P007,WF-008-NR-F_6,4.0,WF,008,NR,F,6,Female
P004,WF-008-NR-F_6,4.0,WF,008,NR,F,6,Female
P001,WF-008-NR-F_6,5.0,WF,008,NR,F,6,Female
P60,WF-009-NR-N_4,1.0,WF,009,NR,N,4,Female
P059,WF-009-NR-N_4,1.0,WF,009,NR,N,4,Female
P054,WF-009-NR-N_4,1.0,WF,009,NR,N,4,Female
P034,WF-009-NR-N_4,2.0,WF,009,NR,N,4,Female
P053,WF-009-NR-N_4,2.0,WF,009,NR,N,4,Female
P045,WF-009-NR-N_4,2.0,WF,009,NR,N,4,Female
P029,WF-009-NR-N_4,1.0,WF,009,NR,N,4,Female
P027,WF-009-NR-N_4,1.0,WF,009,NR,N,4,Female
P003,WF-009-NR-N_4,3.0,WF,009,NR,N,4,Female
P60,WF-009-NR-HC_1,5.0,WF,009,NR,HC,1,Female
P059,WF-009-NR-HC_1,5.0,WF,009,NR,HC,1,Female
P054,WF-009-NR-HC_1,4.0,WF,009,NR,HC,1,Female
P034,WF-009-NR-HC_1,4.0,WF,009,NR,HC,1,Female
P053,WF-009-NR-HC_1,5.0,WF,009,NR,HC,1,Female
P045,WF-009-NR-HC_1,4.0,WF,009,NR,HC,1,Female
P029,WF-009-NR-HC_1,5.0,WF,009,NR,HC,1,Female
P027,WF-009-NR-HC_1,5.0,WF,009,NR,HC,1,Female
P003,WF-009-NR-HC_1,5.0,WF,009,NR,HC,1,Female
P60,WF-009-NR-A_4,5.0,WF,009,NR,A,4,Female
P059,WF-009-NR-A_4,3.0,WF,009,NR,A,4,Female
P054,WF-009-NR-A_4,4.0,WF,009,NR,A,4,Female
P034,WF-009-NR-A_4,3.0,WF,009,NR,A,4,Female
P053,WF-009-NR-A_4,4.0,WF,009,NR,A,4,Female
P045,WF-009-NR-A_4,4.0,WF,009,NR,A,4,Female
P029,WF-009-NR-A_4,5.0,WF,009,NR,A,4,Female
P027,WF-009-NR-A_4,5.0,WF,009,NR,A,4,Female
P003,WF-009-NR-A_4,5.0,WF,009,NR,A,4,Female
P60,WF-009-NR-F_6,3.0,WF,009,NR,F,6,Female
P059,WF-009-NR-F_6,1.0,WF,009,NR,F,6,Female
P054,WF-009-NR-F_6,3.0,WF,009,NR,F,6,Female
P034,WF-009-NR-F_6,2.0,WF,009,NR,F,6,Female
P053,WF-009-NR-F_6,3.0,WF,009,NR,F,6,Female
P045,WF-009-NR-F_6,1.0,WF,009,NR,F,6,Female
P029,WF-009-NR-F_6,1.0,WF,009,NR,F,6,Female
P027,WF-009-NR-F_6,1.0,WF,009,NR,F,6,Female
P003,WF-009-NR-F_6,4.0,WF,009,NR,F,6,Female
P059,WF-010-NR-N_4,4.0,WF,010,NR,N,4,Female
P037,WF-010-NR-N_4,2.0,WF,010,NR,N,4,Female
P017,WF-010-NR-N_4,2.0,WF,010,NR,N,4,Female
P014,WF-010-NR-N_4,1.0,WF,010,NR,N,4,Female
P050,WF-010-NR-N_4,2.0,WF,010,NR,N,4,Female
P010,WF-010-NR-N_4,3.0,WF,010,NR,N,4,Female
P009,WF-010-NR-N_4,1.0,WF,010,NR,N,4,Female
P006,WF-010-NR-N_4,2.0,WF,010,NR,N,4,Female
P004,WF-010-NR-N_4,3.0,WF,010,NR,N,4,Female
P059,WF-010-NR-HC_1,1.0,WF,010,NR,HC,1,Female
P037,WF-010-NR-HC_1,1.0,WF,010,NR,HC,1,Female
P017,WF-010-NR-HC_1,4.0,WF,010,NR,HC,1,Female
P014,WF-010-NR-HC_1,4.0,WF,010,NR,HC,1,Female
P050,WF-010-NR-HC_1,3.0,WF,010,NR,HC,1,Female
P010,WF-010-NR-HC_1,3.0,WF,010,NR,HC,1,Female
P009,WF-010-NR-HC_1,4.0,WF,010,NR,HC,1,Female
P006,WF-010-NR-HC_1,4.0,WF,010,NR,HC,1,Female
P004,WF-010-NR-HC_1,4.0,WF,010,NR,HC,1,Female
P059,WF-010-NR-A_4,4.0,WF,010,NR,A,4,Female
P037,WF-010-NR-A_4,3.0,WF,010,NR,A,4,Female
